id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
55;4;626;222;71;36;car;57.0
56;0;450;235;33;70;person;71.0
56;1;547;239;30;54;person;69.0
56;2;548;594;84;125;person;56.0
56;3;628;246;229;149;car;65.0
56;4;626;222;72;35;car;57.0
57;0;450;235;33;70;person;72.0
57;1;546;238;31;56;person;69.0
57;2;628;246;229;149;car;65.0
57;3;626;222;71;36;car;57.0
58;0;450;236;34;68;person;72.0
58;1;545;239;30;54;person;69.0
58;2;629;249;226;145;car;64.0
59;0;450;236;34;68;person;71.0
59;1;545;239;30;54;person;69.0
59;2;629;250;226;144;car;63.0
60;0;449;236;34;68;person;71.0
60;1;546;239;29;54;person;68.0
60;2;629;250;228;145;car;62.0
60;3;626;222;71;36;car;58.0
61;0;449;236;34;68;person;71.0
61;1;546;240;29;53;person;68.0
61;2;628;248;229;147;car;61.0
61;3;627;222;70;35;car;57.0
62;0;449;236;34;68;person;70.0
62;1;547;239;29;55;person;68.0
62;2;521;600;71;106;person;55.0
62;3;628;248;229;147;car;61.0
62;4;626;222;71;35;car;56.0
63;0;449;236;34;68;person;70.0
63;1;546;240;30;54;person;68.0
63;2;628;247;229;148;car;61.0
63;3;626;222;72;35;car;56.0
64;0;449;236;34;69;person;70.0
64;1;547;240;29;54;person;68.0
64;2;628;247;229;148;car;63.0
64;3;626;222;72;35;car;56.0
65;0;449;236;34;69;person;70.0
65;1;547;240;29;54;person;68.0
65;2;628;248;229;147;car;62.0
65;3;626;222;72;35;car;57.0
66;0;449;236;34;69;person;70.0
66;1;547;240;29;54;person;68.0
66;2;628;249;229;146;car;63.0
66;3;626;222;72;35;car;58.0
67;0;448;236;35;69;person;70.0
67;1;547;240;29;54;person;68.0
67;2;628;249;229;146;car;63.0
67;3;626;222;72;35;car;58.0
68;0;449;236;33;68;person;70.0
68;1;548;240;28;53;person;67.0
68;2;628;249;230;146;car;62.0
68;3;626;222;73;35;car;57.0
69;0;449;236;33;68;person;70.0
69;1;547;240;29;54;person;68.0
69;2;628;247;229;148;car;62.0
69;3;625;222;73;35;car;56.0
70;0;449;236;33;69;person;70.0
70;1;546;240;29;55;person;68.0
70;2;628;248;230;147;car;63.0
70;3;626;222;72;36;car;57.0
71;0;449;236;33;68;person;70.0
71;1;546;240;29;55;person;68.0
71;2;482;559;106;159;person;56.0
71;3;628;249;230;146;car;64.0
71;4;626;222;73;36;car;58.0
72;0;449;236;33;69;person;70.0
72;1;547;240;28;55;person;68.0
72;2;482;557;101;162;person;56.0
72;3;628;249;230;146;car;63.0
72;4;626;222;73;35;car;58.0
73;0;448;235;34;70;person;69.0
73;1;547;239;29;59;person;67.0
73;2;469;549;111;170;person;64.0
73;3;628;249;229;146;car;65.0
73;4;627;221;73;36;car;58.0
73;5;486;620;89;94;wine glass;55.0
74;0;448;235;34;69;person;70.0
74;1;546;239;29;59;person;67.0
74;2;466;548;112;171;person;65.0
74;3;424;247;24;50;person;55.0
74;4;628;249;228;146;car;65.0
74;5;626;221;73;36;car;57.0
75;0;449;235;33;69;person;70.0
75;1;546;239;29;59;person;67.0
75;2;460;545;119;175;person;65.0
75;3;424;246;24;51;person;55.0
75;4;628;249;228;146;car;65.0
75;5;627;221;72;36;car;58.0
76;0;448;235;34;70;person;70.0
76;1;546;239;29;60;person;67.0
76;2;457;544;122;176;person;63.0
76;3;423;247;25;51;person;55.0
76;4;628;248;229;147;car;66.0
76;5;627;221;73;36;car;57.0
77;0;449;235;33;70;person;69.0
77;1;546;239;29;60;person;67.0
77;2;448;547;113;173;person;62.0
77;3;423;247;25;51;person;55.0
77;4;628;248;229;147;car;65.0
77;5;628;221;72;36;car;56.0
78;0;439;545;124;175;person;69.0
78;1;449;235;33;69;person;69.0
78;2;545;239;29;60;person;67.0
78;3;423;247;25;51;person;55.0
78;4;629;248;228;147;car;64.0
78;5;628;221;72;35;car;57.0
78;6;705;222;73;30;car;55.0
79;0;432;542;128;178;person;74.0
79;1;449;235;33;69;person;68.0
79;2;546;238;30;61;person;66.0
79;3;424;248;24;50;person;55.0
79;4;630;249;227;146;car;62.0
79;5;627;221;74;36;car;58.0
79;6;701;221;81;32;car;55.0
80;0;435;542;118;178;person;72.0
80;1;448;235;34;69;person;68.0
80;2;545;238;31;61;person;67.0
80;3;629;249;229;147;car;63.0
80;4;627;221;74;36;car;57.0
81;0;428;543;121;177;person;73.0
81;1;449;235;33;69;person;69.0
81;2;544;238;31;60;person;67.0
81;3;424;248;24;50;person;55.0
81;4;629;249;229;147;car;63.0
81;5;627;221;73;36;car;57.0
81;6;701;221;81;32;car;55.0
82;0;420;544;138;176;person;76.0
82;1;448;235;34;69;person;68.0
82;2;545;237;30;62;person;66.0
82;3;424;249;24;49;person;55.0
82;4;630;249;228;147;car;62.0
82;5;627;221;73;36;car;57.0
83;0;419;543;132;177;person;76.0
83;1;448;235;34;69;person;69.0
83;2;545;237;30;61;person;66.0
83;3;424;248;24;50;person;55.0
83;4;630;248;227;147;car;63.0
83;5;627;221;72;36;car;56.0
84;0;416;543;122;177;person;73.0
84;1;449;235;34;69;person;69.0
84;2;545;237;30;61;person;66.0
84;3;423;247;24;50;person;55.0
84;4;630;248;227;147;car;64.0
84;5;628;221;71;36;car;56.0
85;0;406;540;125;180;person;74.0
85;1;449;234;34;70;person;69.0
85;2;545;237;29;61;person;66.0
85;3;423;247;24;50;person;56.0
85;4;630;248;228;147;car;63.0
85;5;627;221;73;36;car;57.0
86;0;401;537;139;181;person;78.0
86;1;449;234;33;70;person;69.0
86;2;544;238;30;60;person;65.0
86;3;422;246;25;52;person;56.0
86;4;630;249;227;146;car;63.0
86;5;627;221;74;36;car;57.0
87;0;392;534;150;186;person;78.0
87;1;449;234;33;70;person;69.0
87;2;545;238;29;59;person;65.0
87;3;422;246;25;52;person;56.0
87;4;631;249;226;146;car;62.0
87;5;627;221;75;36;car;57.0
87;6;691;221;98;33;car;55.0
88;0;391;528;156;191;person;77.0
88;1;449;234;33;70;person;68.0
88;2;546;237;29;59;person;63.0
88;3;553;232;25;59;person;58.0
88;4;423;246;24;51;person;56.0
88;5;631;248;226;147;car;62.0
88;6;628;220;74;37;car;56.0
88;7;689;221;102;33;car;55.0
89;0;378;527;131;193;person;71.0
89;1;449;234;33;70;person;68.0
89;2;545;236;29;60;person;63.0
89;3;554;232;25;58;person;57.0
89;4;422;245;25;53;person;56.0
89;5;631;248;225;147;car;62.0
89;6;627;220;74;37;car;56.0
